player_id,prev year,next year,class transition,type,prev conf,next conf,prev BB%,next BB%,prev K%,next K%,prev OBP,next OBP,prev SLG,next SLG,prev OPS,next OPS
beck--001jor,2021,2022,2 to 3,Returning,SEC,SEC,8.3,12.5,20.8,20.9,0.336,0.391,0.523,0.595,0.859,0.986
burke-000bla,2023,2024,2 to 3,Returning,SEC,SEC,9.2,10.8,17.4,14.899999999999999,0.369,0.449,0.527,0.702,0.896,1.151
ensley000hun,2023,2024,3 to 4,Returning,SEC,SEC,10.299999999999999,10.7,18.5,19.0,0.391,0.39,0.425,0.532,0.816,0.923
ensley000hun,2024,2025,4 to 5,Returning,SEC,SEC,10.7,10.6,19.0,14.899999999999999,0.39,0.418,0.532,0.531,0.923,0.95
gilber002and,2021,2022,2 to 3,Returning,SEC,SEC,5.0,13.5,13.200000000000001,13.100000000000001,0.341,0.455,0.437,0.673,0.778,1.128
lipciu000luc,2021,2022,5 to 6,Returning,SEC,SEC,13.4,22.2,23.799999999999997,23.3,0.357,0.466,0.48,0.667,0.837,1.133
moore-008chr,2023,2024,2 to 3,Returning,SEC,SEC,18.2,11.3,24.4,14.499999999999998,0.444,0.451,0.603,0.797,1.046,1.248
russel000eva,2021,2022,4 to 5,Returning,SEC,SEC,12.0,13.900000000000002,25.7,16.5,0.342,0.39,0.5,0.587,0.842,0.977
bost--000aus,2021,2022,2 to 3,Returning,SEC,SEC,5.6000000000000005,11.799999999999999,15.7,10.100000000000001,0.343,0.451,0.513,0.572,0.855,1.023
bost--000aus,2022,2023,3 to 4,Returning,SEC,SEC,11.799999999999999,14.099999999999998,10.100000000000001,13.8,0.451,0.353,0.572,0.372,1.023,0.725
claunc000tro,2021,2022,4 to 5,Transfer,P12,SEC,10.8,8.9,16.8,18.2,0.379,0.371,0.399,0.392,0.778,0.762
kaler-000kol,2021,2022,2 to 3,Transfer,BigW,SEC,7.9,17.599999999999998,18.3,16.6,0.376,0.376,0.435,0.324,0.81,0.699
moss--000jac,2022,2023,2 to 3,Returning,SEC,SEC,9.1,14.899999999999999,15.2,14.6,0.437,0.457,0.52,0.466,0.957,0.923
rock--001dyl,2021,2022,4 to 5,Transfer,CUSA,SEC,12.3,17.5,13.700000000000001,16.5,0.432,0.468,0.516,0.641,0.948,1.109
targac000rya,2022,2023,2 to 3,Returning,SEC,SEC,15.8,15.6,30.599999999999998,28.299999999999997,0.43,0.37,0.569,0.429,0.999,0.799
battle000jal,2021,2022,1 to 2,Returning,SEC,SEC,12.8,10.7,21.7,20.3,0.371,0.364,0.407,0.48,0.779,0.844
diggs-000ken,2023,2024,2 to 3,Returning,SEC,SEC,17.9,13.8,18.3,23.599999999999998,0.436,0.346,0.547,0.395,0.983,0.741
lanzil000chr,2021,2022,4 to 5,Transfer,ACC,SEC,8.1,9.8,22.5,19.3,0.325,0.424,0.481,0.513,0.807,0.937
moore-018rob,2021,2022,2 to 3,Returning,SEC,SEC,14.399999999999999,14.000000000000002,18.0,15.299999999999999,0.384,0.374,0.558,0.427,0.942,0.801
slaven000bra,2021,2022,2 to 3,Returning,SEC,SEC,7.6,10.8,25.7,23.799999999999997,0.347,0.332,0.56,0.523,0.906,0.855
slaven000bra,2022,2023,3 to 4,Returning,SEC,SEC,10.8,7.1,23.799999999999997,18.9,0.332,0.34,0.523,0.488,0.855,0.829
stoval000pey,2022,2023,1 to 2,Returning,SEC,SEC,8.4,8.5,17.299999999999997,15.299999999999999,0.373,0.33,0.425,0.393,0.798,0.723
stoval000pey,2023,2024,2 to 3,Returning,SEC,SEC,8.5,8.7,15.299999999999999,17.8,0.33,0.409,0.393,0.535,0.723,0.944
wallac001cay,2021,2022,1 to 2,Returning,SEC,SEC,10.4,11.799999999999999,21.9,17.299999999999997,0.369,0.387,0.5,0.553,0.869,0.94
carlso000bro,2021,2022,4 to 5,Transfer,SoCo,SEC,13.600000000000001,10.9,17.299999999999997,23.200000000000003,0.409,0.379,0.478,0.454,0.888,0.833
dichia000son,2021,2022,3 to 4,Transfer,SoCo,SEC,19.1,23.799999999999997,23.9,19.2,0.428,0.549,0.598,0.777,1.026,1.326
foster002col,2022,2023,2 to 3,Returning,SEC,SEC,13.4,11.4,21.3,19.0,0.395,0.429,0.488,0.57,0.884,0.999
howell000kas,2021,2022,3 to 4,Returning,SEC,SEC,12.4,9.4,18.4,17.4,0.382,0.385,0.463,0.402,0.845,0.788
howell000kas,2022,2023,4 to 5,Returning,SEC,SEC,9.4,10.6,17.4,17.299999999999997,0.385,0.377,0.402,0.467,0.788,0.844
moore-000bro,2021,2022,3 to 4,Returning,SEC,SEC,6.2,8.4,12.5,12.2,0.341,0.351,0.38,0.406,0.722,0.756
peirce000bob,2022,2023,2 to 3,Returning,SEC,SEC,7.199999999999999,7.199999999999999,25.6,17.9,0.35,0.411,0.562,0.503,0.912,0.913
alderm000kem,2022,2023,2 to 3,Returning,SEC,SEC,12.1,10.7,24.2,16.900000000000002,0.388,0.44,0.522,0.709,0.91,1.149
bench-000jus,2021,2022,3 to 4,Returning,SEC,SEC,7.199999999999999,8.3,10.2,14.2,0.423,0.409,0.44,0.438,0.863,0.846
chatag000pey,2021,2022,2 to 3,Returning,SEC,SEC,10.0,6.800000000000001,21.6,24.0,0.368,0.317,0.412,0.461,0.78,0.778
chatag000pey,2022,2023,3 to 4,Returning,SEC,SEC,6.800000000000001,10.9,24.0,20.4,0.317,0.343,0.461,0.483,0.778,0.826
dunhur000hay,2021,2022,2 to 3,Returning,SEC,SEC,11.600000000000001,17.1,16.0,32.7,0.385,0.37,0.435,0.385,0.821,0.754
elko--000tim,2021,2022,4 to 5,Returning,SEC,SEC,14.799999999999999,15.1,27.0,29.5,0.444,0.407,0.675,0.642,1.119,1.049
gonzal006jac,2021,2022,1 to 2,Returning,SEC,SEC,12.3,16.7,11.0,10.7,0.443,0.405,0.561,0.558,1.004,0.963
gonzal006jac,2022,2023,2 to 3,Returning,SEC,SEC,16.7,13.8,10.7,11.1,0.405,0.435,0.558,0.564,0.963,0.999
graham000kev,2021,2022,3 to 4,Returning,SEC,SEC,10.2,4.3,11.899999999999999,22.400000000000002,0.422,0.371,0.562,0.562,0.984,0.933
mccant000tj-,2021,2022,1 to 2,Returning,SEC,SEC,10.4,10.5,27.3,31.1,0.369,0.324,0.433,0.41,0.803,0.734
berry-003jac,2021,2022,1 to 2,Transfer,P12,SEC,11.1,10.9,19.5,8.9,0.439,0.464,0.676,0.63,1.115,1.094
crews-000dyl,2021,2022,1 to 2,Returning,SEC,SEC,13.600000000000001,13.700000000000001,15.299999999999999,18.2,0.453,0.463,0.663,0.691,1.116,1.153
crews-000dyl,2022,2023,2 to 3,Returning,SEC,SEC,13.700000000000001,20.599999999999998,18.2,13.4,0.463,0.567,0.691,0.713,1.153,1.28
dought000cad,2021,2022,2 to 3,Returning,SEC,SEC,8.5,10.299999999999999,12.4,17.4,0.368,0.393,0.546,0.567,0.914,0.96
jobert000bra,2022,2023,2 to 3,Returning,SEC,SEC,11.799999999999999,9.6,21.0,25.7,0.354,0.409,0.578,0.596,0.932,1.005
mcmanu000tyl,2021,2022,2 to 3,Transfer,SoCo,SEC,10.9,10.9,21.4,28.000000000000004,0.432,0.387,0.612,0.586,1.044,0.973
morgan002tre,2021,2022,1 to 2,Returning,SEC,SEC,8.6,8.5,14.099999999999998,8.799999999999999,0.441,0.414,0.526,0.462,0.967,0.876
