player_id,name,year,age,team,conference,PA,BB,SO,OBP,SLG,OPS
beck--001jor,Jordan Beck,2020,19,Tennessee,SEC,48,8,11,.396,.475,.871
beck--001jor,Jordan Beck,2021,20,Tennessee,SEC,289,24,60,.336,.523,.859
beck--001jor,Jordan Beck,2022,21,Tennessee,SEC,297,37,62,.391,.595,.986
booker000kyl,Kyle Booker,2021,19,Tennessee,SEC,68,7,18,.382,.448,.831
booker000kyl,Kyle Booker,2022,20,Tennessee,SEC,55,7,12,.364,.356,.719
booker000kyl,Kyle Booker,2023,21,Tennessee,SEC,63,6,23,.323,.345,.668
booker000kyl,Kyle Booker,2024,22,Oral Roberts,SUMT,274,32,52,.407,.461,.867
burke-000bla,Blake Burke,2022,19,Tennessee,SEC,120,19,37,.467,.821,1.288
burke-000bla,Blake Burke,2023,20,Tennessee,SEC,282,26,49,.369,.527,.896
burke-000bla,Blake Burke,2024,21,Tennessee,SEC,323,35,48,.449,.702,1.151
chambe000log,Logan Chambers,2022,21,Tennessee,SEC,35,8,5,.371,.200,.571
chambe000log,Logan Chambers,2023,22,Tennessee,SEC,34,9,5,.441,.440,.881
chambe000log,Logan Chambers,2024,23,Missouri State,MVC,221,26,36,.361,.406,.767
dickey000jar,Jared Dickey,2022,20,Tennessee,SEC,126,20,12,.484,.690,1.174
dickey000jar,Jared Dickey,2023,21,Tennessee,SEC,273,20,34,.392,.525,.917
ensley000hun,Hunter Ensley,2021,19,Tennessee,SEC,1,0,0,.000,.000,.000
ensley000hun,Hunter Ensley,2022,20,Tennessee,SEC,20,4,8,.350,.313,.663
ensley000hun,Hunter Ensley,2023,21,Tennessee,SEC,232,24,43,.391,.425,.816
ensley000hun,Hunter Ensley,2024,22,Tennessee,SEC,252,27,48,.390,.532,.923
ensley000hun,Hunter Ensley,2025,23,Tennessee,SEC,282,30,42,.418,.531,.950
gilber002and,Drew Gilbert,2020,19,Tennessee,SEC,51,7,6,.490,.500,.990
gilber002and,Drew Gilbert,2021,20,Tennessee,SEC,303,15,40,.341,.437,.778
gilber002and,Drew Gilbert,2022,21,Tennessee,SEC,244,33,32,.455,.673,1.128
lawson001cor,Cortland Lawson,2021,21,Tennessee,SEC,16,0,5,.438,.643,1.080
lawson001cor,Cortland Lawson,2022,22,Tennessee,SEC,256,42,65,.402,.512,.914
lipciu000luc,Luc Lipcius,2017,19,Tennessee,SEC,100,9,16,.354,.326,.679
lipciu000luc,Luc Lipcius,2018,20,Tennessee,SEC,32,7,8,.313,.125,.438
